answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
99;general;explain;"s1, will you please further explain me about what you said.";"s1, will you please further explain me about what you said.";"s1, will you please further explain me about what you said."
421;general;explain;"could you clarify further on what you said now to me please.";"could you clarify further on what you said now to me please.";"could you clarify further on what you said now to me please."
430;general;explain;"s2, i am unclear about it.";"s2, i am unclear about it.";"s2, i am unclear about it."
14;general;explain;"what did you mean by that.";"what did you mean by that.";"what did you mean by that."
240;general;explain;"i am unclear about your answer.";"i am unclear about your answer.";"i am unclear about your answer."
426;general;explain;"would you again explain the last sentence to me please.";"would you again explain the last sentence to me please.";"would you again explain the last sentence to me please."
440;general;explain;"please explain me more on what you've just said.";"please explain me more on what you've just said.";"please explain me more on what you've just said."
618;general;explain;"i am not so clear about that.";"i am not so clear about that.";"i am not so clear about that."
223;general;explain;"what do you mean.";"what do you mean.";"what do you mean."
400;general;explain;"will you once again rephrase me about what you just said now.";"will you once again rephrase me about what you just said now.";"will you once again rephrase me about what you just said now."
105;general;explain;"i was not so clear about your answers.";"i was not so clear about your answers.";"i was not so clear about your answers."
93;general;explain;"s1, again elaborate me on what you have just said please.";"s1, again elaborate me on what you have just said please.";"s1, again elaborate me on what you have just said please."
283;general;explain;"explain further.";"explain further.";"explain further."
460;general;explain;"s2, i was not clear about that.";"s2, i was not clear about that.";"s2, i was not clear about that."
294;general;explain;"please will you elaborate further on last sentence.";"please will you elaborate further on last sentence.";"please will you elaborate further on last sentence."
52;general;explain;"will you please clarify again.";"will you please clarify again.";"will you please clarify again."
439;general;explain;"explain me further on what you have said please.";"explain me further on what you have said please.";"explain me further on what you have said please."
47;general;explain;"once again explain it to me.";"once again explain it to me.";"once again explain it to me."
233;general;explain;"please will you explain me more on what you've said.";"please will you explain me more on what you've said.";"please will you explain me more on what you've said."
