answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
19387;qa;definition;"what is a [definition_word : banana]";"what is a banana";"what is a banana"
24897;qa;definition;"what is [definition_word : marketing]";"what is marketing";"what is marketing"
26942;qa;definition;"hey what is the definition of [definition_word : survey]";"hey what is the definition of survey";"Hey, Olly. What is the definition of survey?"
22340;qa;definition;"define [definition_word : god]";"define god";"Define God"
26560;qa;definition;"define [definition_word : television]";"define television";"Alexa, define Television"
20049;qa;definition;"how does a [definition_word : cheetah] look";"how does a cheetah look";"How does a cheetah look?"
18238;qa;definition;"find me a description of [definition_word : morel mushrooms]";"find me a description of morel mushrooms";"Find me a description of morel mushrooms."
26848;qa;definition;"what does [definition_word : snafu] mean";"what does snafu mean";"Olly, what does 'snafu' mean?"
19660;qa;definition;"[definition_word : mobile device] explanation";"mobile device explanation";"Mobile device explanation."
27219;qa;definition;"please search for [definition_word : dining tables]";"please search for dining tables";"please search for dining tables"
27136;qa;definition;"how would you describe [definition_word : the sun]";"how would you describe the sun";"Olly, how would you describe the sun?"
17802;qa;definition;"what is a [definition_word : monitor]";"what is a monitor";"What is a monitor?"
20738;qa;definition;"give details of [definition_word : rock sand]";"give details of rock sand";"give details of rock sand"
14067;qa;definition;"meaning of [definition_word : enthusiastic]";"meaning of enthusiastic";"Meaning of enthusiastic"
12013;qa;definition;"what does [definition_word : pda] mean";"what does pda mean";"what does 'pda' mean?"
19828;qa;definition;"what does [definition_word : triumph] mean";"what does triumph mean";"What does triumph mean?"
17400;qa;definition;"tell me about [definition_word : the sports stadium]";"tell me about the sports stadium";"Tell me about the sports stadium"
26850;qa;definition;"look up the word [definition_word : snafu]";"look up the word snafu";"Olly, look up the word 'snafu'."
14591;qa;definition;"can i get the definition to [definition_word : ambulance]";"can i get the definition to ambulance";"can i get the definition to ambulance"
