answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
24168;email;query;"are there any new emails received [time : after four] o'clock [date : today]";"are there any new emails received after four o'clock today";"Are there any new emails received after 4 o'clock today?"
11805;email;query;"find new email";"find new email";"Olly, find new email."
17150;email;query;"any new email since last time";"any new email since last time";"Any new mail since last time"
4860;email;query;"are there any emails i haven't read yet";"are there any emails i haven't read yet";"Are there any emails I haven't read yet?"
9913;email;query;"check for new emails";"check for new emails";"Check for new emails"
13896;email;query;"did i get an email from [person : jen] [date : last night]";"did i get an email from jen last night";"Did I get an email from Jen last night?"
9536;email;query;"did i receive any new email";"did i receive any new email";"Did I receive any new Email"
4657;email;query;"please check whether the email of [person : jancy] has come";"please check whether the email of jancy has come";"Please check whether the email of Jancy has come."
1729;email;query;"do i have any emails from [person : robert]";"do i have any emails from robert";"Olly do I have any emails from Robert"
16482;email;query;"has any mail received with an attachment";"has any mail received with an attachment";"has any mail received with an attachment ?"
14842;email;query;"check to see if my [relation : mom] sent me any emails";"check to see if my mom sent me any emails";"Check to see if my mom sent me any emails."
25479;email;query;"check any mail from [person : amazon]";"check any mail from amazon";"Check any mail from Amazon?"
15355;email;query;"have any emails come in since [time : four hundred] [date : today]";"have any emails come in since four hundred today";"Have any emails come in since 4:00 today?"
21729;email;query;"is the mail from [person : chris] about work";"is the mail from chris about work";"is the mail from chris about work?"
10855;email;query;"who's emailed me recently";"who's emailed me recently";"Who's emailed me recently?"
18299;email;query;"please send a notification when [person : john] replies";"please send a notification when john replies";"Please send a notification when John replies"
23862;email;query;"do i have a new email from [person : sandy]";"do i have a new email from sandy";"Do I have a new email from Sandy?"
19010;email;query;"[person : jane doe]";"jane doe";"jane doe"
6148;email;query;"display recent email from [person : john]";"display recent email from john";"display recent email from John, Olly"
