answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
6321;general;joke;"search for a good [joke_type : nerd] joke";"search for a good nerd joke";"Search for a good nerd joke."
18797;general;joke;"i want to listen to a joke";"i want to listen to a joke";"PDA, I want to listen to a joke."
3577;general;joke;"i would like a joke";"i would like a joke";"I would like a joke"
25815;general;joke;"say a [joke_type : good] joke for me right now";"say a good joke for me right now";"Say a good joke for me right now"
686;general;joke;"send a giggle my way";"send a giggle my way";"Send a giggle my way"
17591;general;joke;"hey do you know any jokes";"hey do you know any jokes";"Hey, do you know any jokes?"
4422;general;joke;"tell [joke_type : funny] things";"tell funny things";"tell funny things"
12398;general;joke;"i need to hear a joke can you tell me one";"i need to hear a joke can you tell me one";"I need to hear a joke. Can you tell me one."
9282;general;joke;"i wanna laugh can you make it happen";"i wanna laugh can you make it happen";"I wanna laugh,Can you make it happen?"
19922;general;joke;"what is a [joke_type : funny] joke";"what is a funny joke";"What is a funny joke?"
14226;general;joke;"i want to hear a [joke_type : funny] joke";"i want to hear a funny joke";"i want to hear a funny joke"
12190;general;joke;"tell me a joke about [relation : lawyers]";"tell me a joke about lawyers";"Tell me a joke about lawyers."
