answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18188;general;quirky;"bingo";"bingo";"Bingo"
1983;general;quirky;"do homework for me please";"do homework for me please";"do homework for me please!"
26907;general;quirky;"hey [date : today] i was fired from my job";"hey today i was fired from my job";"Hey Olly, today i was fired from my job."
21673;general;quirky;"what is the story of the movie [movie_name : titanic]";"what is the story of the movie titanic";"what is the story of the movie titanic"
26125;general;quirky;"do you know of any good free knitting patterns";"do you know of any good free knitting patterns";"Do you know of any good free knitting patterns?"
22083;general;quirky;"how can you get basalt";"how can you get basalt";"how can you get basalt?"
26153;general;quirky;"what's on your mind [date : today]";"what's on your mind today";"what's on your mind today?"
7319;general;quirky;"can you lie";"can you lie";"can you lie?"
10861;general;quirky;"can i tell you about my day";"can i tell you about my day";"Can I tell you about my day?"
16812;general;quirky;"give me some health tips";"give me some health tips";"Give me some health tips"
11290;general;quirky;"do you think [date : today] will be nice out";"do you think today will be nice out";"Do you think today will be nice out?"
18122;general;quirky;"is there a groomer in town for cats only";"is there a groomer in town for cats only";"Is there a groomer in town for cats only?"
24742;general;quirky;"compare prices of dairy items in local shops";"compare prices of dairy items in local shops";"compare prices or dairy items in local shops"
20943;general;quirky;"downloads management";"downloads management";"downloads management"
12219;general;quirky;"let's make some popcorn and watch an old movie together";"let's make some popcorn and watch an old movie together";"Let's make some popcorn and watch an old movie together."
2588;general;quirky;"its very tough one";"its very tough one";"its very tough one"
26921;general;quirky;"cheering me up";"cheering me up";"cheering me up"
23713;general;quirky;"what is your age";"what is your age";"what is your age"
17525;general;quirky;"find me the cheapest copy of the four hour body";"find me the cheapest copy of the four hour body";"Find me the cheapest copy of The Four Hour Body?"
