answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
5718;transport;taxi;"find me a [transport_type : taxi]";"find me a taxi";"Olly, find me a taxi."
null;transport;taxi;"book an [transport_agency : uber] from my location to [place_name : the theatre]";"book an uber from my location to the theatre";"null"
23513;transport;taxi;"just book for me a [transport_agency : lyft] [transport_type : taxi] to [place_name : bardonia]";"just book for me a lyft taxi to bardonia";"Just book for me a Lyft taxi to Bardonia"
70;transport;taxi;"book me a [transport_type : taxi] to [place_name : leith] in [time : half an hour]";"book me a taxi to leith in half an hour";"Olly, book me a taxi to Leith in half an hour"
4452;transport;taxi;"find an [transport_agency : uber] on [date : twenty ninth]";"find an uber on twenty ninth";"Find an Uber on 29th St."
3522;transport;taxi;"schedule city [transport_type : cab] from [place_name : home] to [place_name : airport] at [time : eight am]";"schedule city cab from home to airport at eight am";"schedule city cab from home to airport at 8 a.m."
26621;transport;taxi;"can i get a [transport_type : taxi] to come to [place_name : my house] [time : in an hour]";"can i get a taxi to come to my house in an hour";"can I get a taxi to come to my house in an hour?"
7289;transport;taxi;"book a [transport_type : taxi] to the [place_name : airport] for [date : tomorrow] [timeofday : morning]";"book a taxi to the airport for tomorrow morning";"book a taxi to the airport for tomorrow morning"
10531;transport;taxi;"book [transport_agency : uber] for [timeofday : tonight] at [time : seven pm]";"book uber for tonight at seven pm";"Book Uber for tonight at 7pm"
5668;transport;taxi;"get me a [transport_type : taxi]";"get me a taxi";"get me a taxi."
7916;transport;taxi;"get me an [transport_agency : uber]";"get me an uber";"Get me an uber"
4450;transport;taxi;"find the nearest [transport_agency : uber]";"find the nearest uber";"Find the nearest Uber"
7915;transport;taxi;"get me a [transport_type : ride] to [place_name : hospital]";"get me a ride to hospital";"Get me a ride to hospital"
2590;transport;taxi;"i need a [transport_agency : uber] to my current location";"i need a uber to my current location";"I need a uber to my current location."
20818;transport;taxi;"please book a [transport_type : taxi] in [transport_agency : uber] for me to go to the [place_name : airport] [date : today]";"please book a taxi in uber for me to go to the airport today";"PLEASE BOOK A TAXI IN UBER FOR ME TO GO TO THE AIRPORT TODAY."
11029;transport;taxi;"find me an [transport_agency : uber]";"find me an uber";"find me an uber"
19590;transport;taxi;"reserve the closest [transport_agency : uber]";"reserve the closest uber";"reserve the closest uber"
10932;transport;taxi;"can you get me a [transport_type : taxi] [place_name : home]";"can you get me a taxi home";"Can you get me a taxi home?"
