answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
22360;transport;ticket;"read the ticket for tesla";"read the ticket for tesla";"Read the ticket for Tesla"
12801;transport;ticket;"buy a [transport_type : train] ticket to [place_name : cleveland] for [date : april fourteenth]";"buy a train ticket to cleveland for april fourteenth";"Buy a train ticket to Cleveland for April 14th"
14122;transport;ticket;"book a rajdhani [transport_type : train] ticket from [place_name : mumbai to ahmedabad]";"book a rajdhani train ticket from mumbai to ahmedabad";"book a Rajdhani train ticket from mumbai to ahmedabad"
24527;transport;ticket;"book for me a [transport_type : train] ticket to [place_name : california]";"book for me a train ticket to california";"Book for me a train ticket to California"
16456;transport;ticket;"book me a [transport_type : train] ticket to [place_name : atlanta] please";"book me a train ticket to atlanta please";"Book me a train ticket to Atlanta, please."
12799;transport;ticket;"book a [transport_type : train] ticket for [date : friday april fourteenth] for [place_name : boston]";"book a train ticket for friday april fourteenth for boston";"Book a train ticket for Friday April 14th for Boston"
3251;transport;ticket;"book me a [transport_type : train] ride [transport_descriptor : covering five destinations] to see in [place_name : new york]";"book me a train ride covering five destinations to see in new york";"Book me a train ride covering 5 destinations to see in New York"
14783;transport;ticket;"i need to leave on the [time : five pm] [transport_type : train] to [place_name : rockville]";"i need to leave on the five pm train to rockville";"I need to leave on the 5pm train to Rockville."
16188;transport;ticket;"book me a [transport_type : train] ticket at earliest time [date : tomorrow]";"book me a train ticket at earliest time tomorrow";"Book me a train ticket at earliest time tomorrow."
7961;transport;ticket;"repurchase last [transport_type : train] ticket to [place_name : phillyx]";"repurchase last train ticket to phillyx";"Repurchase last train ticket to Philly [Philadelphia, PA]"
1799;transport;ticket;"book a ticket to [place_name : paris] on [transport_name : eurostar] at [time : five pm] [date : this Friday]";"book a ticket to paris on eurostar at five pm this Friday";"Olly book a ticket to Paris on eurostar at 5pm this friday"
16457;transport;ticket;"buy me a ticket to take the [transport_type : train] to [place_name : atlanta]";"buy me a ticket to take the train to atlanta";"Buy me a ticket to take the train to Atlanta."
8437;transport;ticket;"buy me [date : today] [transport_type : train] ticket to city [place_name : leeds]";"buy me today train ticket to city leeds";"buy me today train ticket to city A."
7251;transport;ticket;"book a [transport_type : train] ticket with a [transport_descriptor : berth seat] to [place_name : lucknow] for [date : next week]";"book a train ticket with a berth seat to lucknow for next week";"book a train ticket with a berth seat to Lucknow for next week"
17170;transport;ticket;"open [transport_type : train] ticket app";"open train ticket app";"Open train ticket app"
16187;transport;ticket;"book me a [transport_type : train] for the next available train";"book me a train for the next available train";"Book me a train for the next available train."
5900;transport;ticket;"book a [transport_descriptor : first class] ticket in the next [transport_type : train] to [place_name : miami]";"book a first class ticket in the next train to miami";"Book a first class ticket in the next train to Miami"
13727;transport;ticket;"i need you to book a [transport_type : train] ticket that leaves at [time : two pm]";"i need you to book a train ticket that leaves at two pm";"Echo I need you to book a train ticket that leaves at 2 P.M."
7249;transport;ticket;"book a [transport_type : train] ticket to [place_name : mumbai] for [date : tomorrow]";"book a train ticket to mumbai for tomorrow";"book a train ticket to Mumbai for tomorrow"
