answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
2938;iot;hue_lightdim;"turn the lights down";"turn the lights down";"turn the lights down"
21959;iot;hue_lightdim;"lower the lights in the [house_place : room]";"lower the lights in the room";"Lower the lights in the room"
3597;iot;hue_lightdim;"lights dim";"lights dim";"Lights Dim"
9645;iot;hue_lightdim;"it is time to lower the [house_place : kitchen] lights";"it is time to lower the kitchen lights";"it is time to lower the kitchen lights"
18015;iot;hue_lightdim;"dim the lights to level two";"dim the lights to level two";"Dim the lights to level 2"
26001;iot;hue_lightdim;"adjust the lights to a lower setting please";"adjust the lights to a lower setting please";"Adjust the lights to a lower setting please."
2376;iot;hue_lightdim;"change the lights to dim";"change the lights to dim";"change the lights to dim"
21759;iot;hue_lightdim;"give me some dim light";"give me some dim light";"Give me some dim light"
8781;iot;hue_lightdim;"lower the light level in my house";"lower the light level in my house";"Lower the light level in my house"
20815;iot;hue_lightdim;"darken the [house_place : room] [change_amount : a bit]";"darken the room a bit";"darken the room a bit"
22613;iot;hue_lightdim;"is it ok to lower the lights";"is it ok to lower the lights";"is it ok to lower tge lights"
22614;iot;hue_lightdim;"can we please lower the lights";"can we please lower the lights";"can we please lower tge lights"
