answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
2112;calendar;query;"let me know about upcoming events";"let me know about upcoming events";"Let me know about upcoming events"
15680;calendar;query;"do i have anything scheduled in my events";"do i have anything scheduled in my events";"do I have anything scheduled in my events"
27309;calendar;query;"please check my reminders";"please check my reminders";"PDA please check my reminders"
17164;calendar;query;"what time do i have a [event_name : doctors appointment] on [date : the twenty second]";"what time do i have a doctors appointment on the twenty second";"what time do I have a doctors appointment on the 22nd"
16487;calendar;query;"what are the upcoming reminders";"what are the upcoming reminders";"What are the upcoming reminders?"
13941;calendar;query;"what time am i supposed to pick up [person : john] again";"what time am i supposed to pick up john again";"What time am I supposed to pick up John again?"
13838;calendar;query;"what time is the [event_name : evening meeting] i have with [person : john]";"what time is the evening meeting i have with john";"What time is the evening meeting I have with John."
7977;calendar;query;"show me [time : future] events";"show me future events";"Show me future events"
6863;calendar;query;"list all the events in my [date : march] calendar";"list all the events in my march calendar";"List all the events in my March Calender"
14849;calendar;query;"did you add [date : tomorrow's] [event_name : meeting] to my calendar";"did you add tomorrow's meeting to my calendar";"Did you add tomorrow's meeting to my calendar?"
19659;calendar;query;"when is the [event_name : doctor's appointment]";"when is the doctor's appointment";"When is the doctor's appointment?"
21059;calendar;query;"which is the next event coming up";"which is the next event coming up";"Which is the next event coming up?"
16629;calendar;query;"what is scheduled on my calendar [date : today]";"what is scheduled on my calendar today";"What is scheduled on my calendar today?"
24489;calendar;query;"is the [event_name : thanks giving] event on [date : fourteenth of this month] true";"is the thanks giving event on fourteenth of this month true";"Is the Thanks giving event on 14th of this month true"
27308;calendar;query;"please check my coming up events";"please check my coming up events";"PDA please check my coming up events"
1845;calendar;query;"do i have any [event_name : meetings] on [date : friday's] [timeofday : afternoon]";"do i have any meetings on friday's afternoon";"Do I have any meetings on Friday's afternoon?"
19237;calendar;query;"do i have any events scheduled [date : today]";"do i have any events scheduled today";"Do I have any events scheduled today?"
2702;calendar;query;"is there any program for [date : tomorrow] [timeofday : evening]";"is there any program for tomorrow evening";"Is there any program for tomorrow evening."
25865;calendar;query;"notify me about the [event_name : meetings] over a period of some days";"notify me about the meetings over a period of some days";"Notify me about the meetings over a period of some days"
