answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9496;lists;remove;"can you remove this item from the list";"can you remove this item from the list";"Can you remove this item from the list"
11474;lists;remove;"delete last entry";"delete last entry";"PDA delete last entry"
3610;lists;remove;"remove books from list";"remove books from list";"Remove books from list"
14414;lists;remove;"please remove my list of [list_name : favorite albums]";"please remove my list of favorite albums";"Please remove my list of favorite albums."
15052;lists;remove;"please delete what i just typed";"please delete what i just typed";"Please delete what I just typed."
1789;lists;remove;"take bread out from the [list_name : shopping] list";"take bread out from the shopping list";"take bread out from the shopping list"
12263;lists;remove;"change that off the list";"change that off the list";"Change that off the list"
8183;lists;remove;"remove the list of apps which started with letter a";"remove the list of apps which started with letter a";"Remove the list of apps which started with letter A"
13622;lists;remove;"remove this from the list";"remove this from the list";"Remove this from the list"
22311;lists;remove;"get rid of peas";"get rid of peas";"Get rid of peas"
13623;lists;remove;"remove item three from the list";"remove item three from the list";"Remove item 3 from the list."
16894;lists;remove;"take grocery buying off of the list";"take grocery buying off of the list";"Take grocery buying off of the list"
12033;lists;remove;"i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist";"i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist";"I don't have enough money to buy the Nintendo Switch right now, can you please remove it on my Amazon Wishlist?"
22346;lists;remove;"i want to remove apples from list";"i want to remove apples from list";"I want to remove @ from list"
7351;lists;remove;"please remove this item from the list";"please remove this item from the list";"Please remove this item from the list"
793;lists;remove;"delete item";"delete item";"Delete item"
7931;lists;remove;"remove item four";"remove item four";"Remove item 4"
5112;lists;remove;"get rid of [person : mike stein] from contacts list";"get rid of mike stein from contacts list";"Get rid of Mike Stein from Contacts list"
4018;lists;remove;"delete my [list_name : grocery] list in my notes";"delete my grocery list in my notes";"Delete my grocery list in my notes."
