answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
11523;transport;query;"where can i book a [transport_type : train] ticket to [place_name : oregon]";"where can i book a train ticket to oregon";"Where can I book a train ticket to Oregon?"
17200;transport;query;"navigation search";"navigation search";"navigation search"
11513;transport;query;"what time does the [transport_type : train] leave [place_name : philadelphia]";"what time does the train leave philadelphia";"What time does the train leave Philadelphia?"
26479;transport;query;"please let me know the time of [transport_type : train] [transport_name : northern rail]";"please let me know the time of train northern rail";"please let me know the time of train X"
24031;transport;query;"directions please";"directions please";"directions please"
10911;transport;query;"how far away is the nearest [place_name : rest stop]";"how far away is the nearest rest stop";"How far away is the nearest rest stop?"
18241;transport;query;"what are the [transport_type : train] times for [date : today]";"what are the train times for today";"What are the train times for today?"
25047;transport;query;"how much long until [transport_name : northern rail] arrives at [place_name : kings cross station]";"how much long until northern rail arrives at kings cross station";"PDA name: how much long until xxxx arives at xxxxx station"
5605;transport;query;"show me the [transport_type : train] schedules to the [place_name : metropolitan opera house]";"show me the train schedules to the metropolitan opera house";"Show me the train schedules to the Metropolitan Opera House."
5078;transport;query;"get route for [place_name : los angles] from here";"get route for los angles from here";"get route for LA from here"
14593;transport;query;"direction to local [place_name : train station]";"direction to local train station";"direction to local train station"
21984;transport;query;"what is the [transport_type : train] schedule to [place_name : denver]";"what is the train schedule to denver";"what is the train schedule to denver?"
14342;transport;query;"how long does it take to get from here to [place_name : chicago] by [transport_type : train]";"how long does it take to get from here to chicago by train";"how long does it take to get from here to chicago by train?"
13493;transport;query;"when i should leave to [place_name : office]";"when i should leave to office";"when I should leave to XXX"
22804;transport;query;"when is the [transport_type : train] coming";"when is the train coming";"When is the train coming?"
11978;transport;query;"how much time is a [transport_type : train] to there";"how much time is a train to there";"How much time is a train to there"
14594;transport;query;"find nearest [place_name : train station]";"find nearest train station";"find nearest train station"
18912;transport;query;"[transport_type : train] leaving";"train leaving";"train leaving"
14595;transport;query;"get me to the nearest [place_name : train station]";"get me to the nearest train station";"get me to the nearest train station"
