answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18814;music;query;"what music is being played right now";"what music is being played right now";"PDA, What music is being played right now?"
12537;music;query;"show me the name of the song playing right now";"show me the name of the song playing right now";"Cortana, show me the name of the song playing right now."
9473;music;query;"what song is on the radio";"what song is on the radio";"what song is on the radio"
9424;music;query;"what is the name of the music playing now";"what is the name of the music playing now";"what is the name of the music playing now?"
9754;music;query;"when was this song recorded";"when was this song recorded";"When was this song recorded?"
17085;music;query;"what album is this song on";"what album is this song on";"what album is this song on"
11666;music;query;"what cd is this song on";"what cd is this song on";"What CD is this song on?"
14084;music;query;"do you know the name of the song that is playing";"do you know the name of the song that is playing";"Do you know the name of the song that is playing?"
22801;music;query;"tell me starting phrase of this music";"tell me starting phrase of this music";"tell me starting phrase of this  music"
13744;music;query;"what music do i like";"what music do i like";"What music do I like?"
14491;music;query;"who wrote the song that is playing";"who wrote the song that is playing";"Who wrote the song that is playing?"
23438;music;query;"what music is currently playing";"what music is currently playing";"what music is currently playing"
1839;music;query;"who covered the song [song_name : one more cup of coffee]";"who covered the song one more cup of coffee";"Who covered the song One more cup of coffee?"
8768;music;query;"name the artist who sang [song_name : hotel california]";"name the artist who sang hotel california";"Name the artist who sang Hotel California."
8086;music;query;"what song is currently playing";"what song is currently playing";"What song is currently playing?"
13875;music;query;"olly what songs have i listened to at least ten times";"olly what songs have i listened to at least ten times";"Google what songs have I listened to at least ten times."
7418;music;query;"is it possible for you to provide the likes of my music";"is it possible for you to provide the likes of my music";"Is it possible for you to provide the likes of my music"
13842;music;query;"what genre is this song currently playing";"what genre is this song currently playing";"What genre is this song currently playing?"
17152;music;query;"identify song";"identify song";"identify song"
