answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
17189;calendar;set;"set reminder notification for [time : three] o'clock";"set reminder notification for three o'clock";"Set reminder notification for three o'clock"
19961;calendar;set;"reminders";"reminders";"Reminders"
16930;calendar;set;"notify me an hour before my [time : two pm] [event_name : appointment] at the car dealership";"notify me an hour before my two pm appointment at the car dealership";"Notify me an hour before my 2pm appointment at the car dealership"
9772;calendar;set;"i need you to mark next [date : monday]";"i need you to mark next monday";"I need you to mark next monday"
20735;calendar;set;"let me know when my [event_name : meetings] are on [date : monday]";"let me know when my meetings are on monday";"Let me know when my meetings are on Monday."
3376;calendar;set;"set a reminder for [person : john's] [event_name : birthday] [date : next week]";"set a reminder for john's birthday next week";"set a reminder for john's birthday next week"
17671;calendar;set;"[general_frequency : every wednesday] night at [time : five pm] remind me to meet [person : phil]";"every wednesday night at five pm remind me to meet phil";"Every Wednesday night at 5pm remind me to meet Phil."
639;calendar;set;"set a [event_name : meeting] with [person : hongbin]";"set a meeting with hongbin";"Set a meeting with Hongbin"
7482;calendar;set;"invite people to the calendar event";"invite people to the calendar event";"invite people to the calendar event"
1875;calendar;set;"remind me [date : tomorrow] at [time : four] about an event";"remind me tomorrow at four about an event";"Remind me tomorrow at 4 about an event"
10102;calendar;set;"add practice to calendar on [date : feb four] at [place_name : king's park] at [time : two pm]";"add practice to calendar on feb four at king's park at two pm";"Add practice to calendar on Feb 4 at King's Park at 2 p.m.."
6386;calendar;set;"set a two day notification before [person : maria's] [event_name : birthday] please";"set a two day notification before maria's birthday please";"Set a 2 day notification before Maria's birthday please."
23160;calendar;set;"let me know of the [event_name : meeting] on [date : tuesday]";"let me know of the meeting on tuesday";"Let me know of the meeting on Tuesday"
13251;calendar;set;"meeting update my calendar to [event_name : reflect meeting]";"meeting update my calendar to reflect meeting";"Meeting (friend) on (date) update my calendar to reflect meeting."
18419;calendar;set;"remind me at the start of [general_frequency : each month]";"remind me at the start of each month";"Remind me at the start of each month."
3953;calendar;set;"add my [event_name : car payment] on the [date : twelfth] in my calendar";"add my car payment on the twelfth in my calendar";"Add my car payment on the 12th in my calendar."
11345;calendar;set;"give me an update on the [event_name : election] in [time : one hour]";"give me an update on the election in one hour";"Give me an update on the election in one hour."
12658;calendar;set;"on [date : february fourteenth] make [meal_type : dinner] reservations at the [business_type : restaurant]";"on february fourteenth make dinner reservations at the restaurant";"On Febuary 14th make dinner reservations at the restaurant."
2667;calendar;set;"repeating event [event_name : meeting] on [general_frequency : mondays]";"repeating event meeting on mondays";"repeating event meeting on mondays"
