answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15614;takeaway;query;"could you please confirm if [business_name : paradise] does [order_type : takeaway]";"could you please confirm if paradise does takeaway";"Could you please confirm if paradise does takeaway"
26624;takeaway;query;"is my order ready for pick up now";"is my order ready for pick up now";"Is my order ready for pick up now?"
7901;takeaway;query;"[business_type : restaurant] delivery update";"restaurant delivery update";"Restaurant delivery update"
15615;takeaway;query;"does [business_name : paradise] has [order_type : takeaway]";"does paradise has takeaway";"Does paradise has takeaway"
13577;takeaway;query;"when my [order_type : takeaway] order will arrive";"when my takeaway order will arrive";"when my takeaway order will arrive?"
24580;takeaway;query;"is there a [order_type : takeaway] in [business_name : chipotle] [business_type : restaurant]";"is there a takeaway in chipotle restaurant";"is there a takeaway in __ restaurant"
10883;takeaway;query;"when can i pick up my order";"when can i pick up my order";"When can I pick up my order?"
718;takeaway;query;"how long until my [order_type : takeaway]";"how long until my takeaway";"How long until my takeaway."
19673;takeaway;query;"what time is my [business_name : domino's] order expected to arrive";"what time is my domino's order expected to arrive";"What time is my Domino's order expected to arrive?"
5415;takeaway;query;"can i get an order [order_type : delivered] from [business_name : romero's]";"can i get an order delivered from romero's";"Can I get an order delivered from Romero's?"
15613;takeaway;query;"please check if [business_name : paradise] does [order_type : takeaway]";"please check if paradise does takeaway";"Please check if paradise does takeaway"
17944;takeaway;query;"check to see if [business_name : pizza hut] has my order on the way";"check to see if pizza hut has my order on the way";"Check to see if Pizza Hut has my order on the way."
11629;takeaway;query;"does [business_name : dominos] deliver";"does dominos deliver";"Does dominos deliver?"
12900;takeaway;query;"when did i place my order and what was the projected time it would take";"when did i place my order and what was the projected time it would take";"When did I place my order and what was the projected time it would take?"
8489;takeaway;query;"ask [business_name : peking garden] when my food will arrive";"ask peking garden when my food will arrive";"Ask Peking Garden when my food will arrive."
18247;takeaway;query;"ask if deliver";"ask if deliver";"Ask if deliver"
6154;takeaway;query;"is my order ready";"is my order ready";"Is my order ready?"
24628;takeaway;query;"whats up with my [order_type : takeaway]";"whats up with my takeaway";"whats up with my takeaway"
17344;takeaway;query;"does [business_name : fongs] have [order_type : delivery]";"does fongs have delivery";"Does Fongs have delivery?"
