answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
17654;recommendation;events;"events in city";"events in city";"Events in <City>"
20781;recommendation;events;"events in the local area";"events in the local area";"events in the local are?"
5130;recommendation;events;"is there any [event_name : carnival] taking place in our area";"is there any carnival taking place in our area";"Is there any carnival taking place in our area"
11125;recommendation;events;"will there be a [business_type : farmers market] in the area [date : this weekend]";"will there be a farmers market in the area this weekend";"Will there be a farmers market in the area this weekend?"
24143;recommendation;events;"events [date : today]";"events today";"events today"
13212;recommendation;events;"which event should i attend in my area";"which event should i attend in my area";"Which event should I attend in my area?"
12589;recommendation;events;"what are the local events";"what are the local events";"What are the local events?"
2497;recommendation;events;"is there any events are in the local area";"is there any events are in the local area";"Is there any events are in the local area?"
24555;recommendation;events;"show me nearby [event_name : musical events]";"show me nearby musical events";"Show me nearby musical events"
14336;recommendation;events;"what's some upcoming events i might want to go to";"what's some upcoming events i might want to go to";"olly what's some upcoming events i might want to go to?"
12199;recommendation;events;"are there any [event_name : crafts fairs] happening in this area";"are there any crafts fairs happening in this area";"Are there any crafts fairs happening in this area?"
19536;recommendation;events;"what is happening in me area";"what is happening in me area";"What is happening in my area"
10116;recommendation;events;"what kind of event is happening around me";"what kind of event is happening around me";"PDA, What kind of event is happening around me?"
18822;recommendation;events;"[date : this weekend] what events are going on in [place_name : seattle]";"this weekend what events are going on in seattle";"This weekend, what events are going on in Seattle?"
12590;recommendation;events;"tell me the local events";"tell me the local events";"Tell me the local events."
20616;recommendation;events;"searching for recent happenings on the particular dates";"searching for recent happenings on the particular dates";"searching for recent happenings on the particular dates"
14939;recommendation;events;"what can i do for fun under dollars around me";"what can i do for fun under dollars around me";"What can I do for fun under $20 around me?"
27306;recommendation;events;"please search for events in my location";"please search for events in my location";"PDA please search for events in my location"
22910;recommendation;events;"please check on the [event_name : rock concerts] scheduled [date : this weekend]";"please check on the rock concerts scheduled this weekend";"Please check on the rock concerts scheduled this weekend"
