answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3643;email;sendemail;"send email to [person : gary]";"send email to gary";"Send email to Gary"
3328;email;sendemail;"send happy new year to [email_address : john@gmail dot com]";"send happy new year to john@gmail dot com";"send 'happy new year' to 'john@gmail.com'"
6187;email;sendemail;"email my [relation : mom]";"email my mom";"email my mom"
11487;email;sendemail;"compose email";"compose email";"Alexa compose email."
7941;email;sendemail;"send email to [relation : family] and tell them to bring the bug spray before coming to the park";"send email to family and tell them to bring the bug spray before coming to the park";"Send email to family and tell them to bring the bug spray before coming to the park"
13818;email;sendemail;"respond to my [relation : bosses] email with the word that i will be in at four in the evening";"respond to my bosses email with the word that i will be in at four in the evening";"Respond to my bosses email with the word that I will be in at 4 in the evening."
22549;email;sendemail;"email [relation : mom] and ask how the weather is there";"email mom and ask how the weather is there";"Alexa, email mom and ask how the weather is there"
13183;email;sendemail;"answer email";"answer email";"Answer email"
8370;email;sendemail;"send this message to the [relation : family] group starts with a";"send this message to the family group starts with a";"send this message to the family group starts with A ."
11723;email;sendemail;"please send [relation : mom] an email saying that i can make it [date : next week]";"please send mom an email saying that i can make it next week";"Please send Mom an email saying that I can make it next week."
3256;email;sendemail;"send an email to [artist_name : adele]";"send an email to adele";"Send an email to..."
13343;email;sendemail;"i need to add a new email to my contacts";"i need to add a new email to my contacts";"I need to add a new email to my contacts."
1690;email;sendemail;"send an email to my [relation : mum] that i will visit her next weekend";"send an email to my mum that i will visit her next weekend";"Send an Email to my mum that I will visit her next weekend."
8456;email;sendemail;"email [relation : dad] how is the weather [date : this week]";"email dad how is the weather this week";"Email dad how is the weather this week?"
1723;email;sendemail;"email my [relation : sister] about [relation : mom's] [event_name : birthday] [person : jane] we should think about arranging the party at the park";"email my sister about mom's birthday jane we should think about arranging the party at the park";"email my sister about mom's birthday. Jane we should think about arranging the party at the park"
14621;email;sendemail;"tell [person : chris] i will be late through email";"tell chris i will be late through email";"tell chris i will be late through email"
6275;email;sendemail;"send an email to [person : george brown]";"send an email to george brown";"Send an email to George Brown"
21316;email;sendemail;"please send the email to [email_address : abc@gmail dot com] instead of [email_address : xyz@gmail dot com]";"please send the email to abc@gmail dot com instead of xyz@gmail dot com";"Please send the email to abc@gmail.com instaed of xyz@gmail.com"
10951;email;sendemail;"please send an email to [relation : mom]";"please send an email to mom";"Alexa, please send an email to mom"
2536;email;sendemail;"email my [relation : mother]";"email my mother";"Email my mother."
16412;email;sendemail;"i'd like to send a reply";"i'd like to send a reply";"I'd like to send a reply."
24968;email;sendemail;"email [person : chris] add following content sorry I will be late [date : today]";"email chris add following content sorry I will be late today";"email Chris, add following content"
7462;email;sendemail;"send email to [relation : mommy] that i'll be going the [event_name : party]";"send email to mommy that i'll be going the party";"send email to mommy that i'll be going the party."
