answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18720;play;game;"open [game_name : solitaire] play with me";"open solitaire play with me";"Open solitaire.  Play with me"
20142;play;game;"start the [game_name : league of legends] game";"start the league of legends game";"Start the League of Legends game."
18280;play;game;"how about a nice game of [game_name : chess]";"how about a nice game of chess";"How about a nice game of chess?"
24840;play;game;"play [game_name : fmod]";"play fmod";"Ok Google, play FMOD"
26043;play;game;"play [game_name : i spy] with me";"play i spy with me";"Play I spy with me."
20832;play;game;"start play [game_name : spider]";"start play spider";"start play spider"
24702;play;game;"co play game [game_name : monopoly]";"co play game monopoly";"co-play game x"
20383;play;game;"start [game_name : candy crush]";"start candy crush";"Start Cnady Crush."
22977;play;game;"how about a game of [game_name : snakes and ladders]";"how about a game of snakes and ladders";"how about a game of snakes and ladders?"
24357;play;game;"will play [game_name : chess]";"will play chess";"will play chess"
22472;play;game;"would you like to play [game_name : never have i ever]";"would you like to play never have i ever";"Would you like to play never have I ever?"
27353;play;game;"please run this game";"please run this game";"PDA please run this game"
22618;play;game;"start play [game_name : fifa seventeen]";"start play fifa seventeen";"Start play FIFA 17"
22975;play;game;"play [game_name : snake] with me";"play snake with me";"play snake with me"
26993;play;game;"let us play [game_name : millionaires]";"let us play millionaires";"let us play millionaires"
23982;play;game;"play [game_name : racing]";"play racing";"Play racing"
21297;play;game;"create a playing teams and play with them";"create a playing teams and play with them";"create a playing teams and play with them"
17415;play;game;"i'd like to play [game_name : monopoly]";"i'd like to play monopoly";"I'd like to play monopoly"
15961;play;game;"let's play a game of [game_name : trivia]";"let's play a game of trivia";"Let's play a game of trivia."
24437;play;game;"let's play [game_name : checkers]";"let's play checkers";"Let's play Checkers."
20056;play;game;"play [game_name : golf]";"play golf";"play golf"
21415;play;game;"i wish i could play [game_type : video] games together";"i wish i could play video games together";"I wish i could play video games together!"
21217;play;game;"[game_name : angry bird]";"angry bird";"play angry bird"
