answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
22938;news;query;"notification regarding the [news_topic : new iphone release update]";"notification regarding the new iphone release update";"Notification regarding the new iphone release update"
13639;news;query;"get news from [media_type : bbc]";"get news from bbc";"Get news from FOX"
24929;news;query;"[news_topic : iphone]";"iphone";"iphone"
8508;news;query;"what's going on in the [place_name : world] these days";"what's going on in the world these days";"What's going on in the world these days?"
10025;news;query;"give me the news";"give me the news";"Give me the news"
22436;news;query;"i want to read [media_type : yahoo news]";"i want to read yahoo news";"I want to read Yahoo news"
9023;news;query;"headlines from [media_type : dhaka tribune]";"headlines from dhaka tribune";"headlines from Dhaka tribune"
10591;news;query;"what is the headline from [date : today's] [media_type : morning local news]";"what is the headline from today's morning local news";"What is the headline from today's morning local news?"
5419;news;query;"get me the latest news in [place_name : new york]";"get me the latest news in new york";"get me the latest news in NY"
11412;news;query;"what are the news stories on the [media_type : cnn] website";"what are the news stories on the cnn website";"What are the news stories on the CNN website?"
25115;news;query;"latest news";"latest news";"latest news"
20419;news;query;"olly please read me [date : today's] news";"olly please read me today's news";"Siri, please read me today's news"
7861;news;query;"what is trending in tech [date : today]";"what is trending in tech today";"What is trending in tech today?"
9299;news;query;"give me the headline news";"give me the headline news";"Alexa, give me the headline news."
19371;news;query;"get me fresh news";"get me fresh news";"Get me fresh news."
14106;news;query;"please share up to the minute details on [news_topic : sprint]";"please share up to the minute details on sprint";"Please share up to the minute details on Sprint."
15831;news;query;"any recent news about [place_name : north korea]";"any recent news about north korea";"Any recent news about North Korea?"
13411;news;query;"tell the latest news about the [news_topic : trump]";"tell the latest news about the trump";"Tell the latest news about the trump"
12256;news;query;"tell me updates";"tell me updates";"Tell me updates"
8181;news;query;"is [news_topic : india win today cricket match]";"is india win today cricket match";"is india win today cricket match."
25997;news;query;"automobiles";"automobiles";"Automobiles"
7755;news;query;"is [news_topic : snap] doing good after the [news_topic : ipo]";"is snap doing good after the ipo";"Is snap doing good after the IPO?"
8230;news;query;"can you search [news_topic : trump]";"can you search trump";"Can you search trump"
