answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16537;transport;traffic;"how is the traffic on [place_name : the i fifteen] in [place_name : las vegas] [date : today]";"how is the traffic on the i fifteen in las vegas today";"How is the traffic on the I-15 in Las Vegas today?"
17630;transport;traffic;"what is my eta to the office if i leave in [time : thirty minutes]";"what is my eta to the office if i leave in thirty minutes";"What is my ETA to the office if I leave in 30 minutes?"
4743;transport;traffic;"what about the [place_name : new york] city traffic";"what about the new york city traffic";"what about the newyork city traffic?"
6557;transport;traffic;"length of traffic";"length of traffic";"Length of traffice?"
14717;transport;traffic;"how is the traffic in [place_name : san francisco] over the [place_name : bay bridge]";"how is the traffic in san francisco over the bay bridge";"How is the traffic in San Francisco over the Bay Bridge?"
16577;transport;traffic;"how heavy is traffic now in [place_name : denver]";"how heavy is traffic now in denver";"How heavy is traffic now in denver."
6556;transport;traffic;"which place has more traffic";"which place has more traffic";"Which place has more traffic?"
3118;transport;traffic;"what is the current traffic in [place_name : washington town]";"what is the current traffic in washington town";"what is the current traffic in washington town"
18308;transport;traffic;"few traffic roads";"few traffic roads";"few traffic roads"
21884;transport;traffic;"traffic";"traffic";"Traffic"
16455;transport;traffic;"what does i [place_name : seventy five] look like";"what does i seventy five look like";"What does I-75 look like?"
16203;transport;traffic;"are the streets congested right now";"are the streets congested right now";"ARE THE STREETS CONGESTED RIGHT NOW"
9197;transport;traffic;"how was the traffic now";"how was the traffic now";"How was the traffic now"
2473;transport;traffic;"is there more traffic in [place_name : canal street]";"is there more traffic in canal street";"Is there more traffic in Canal street?"
7184;transport;traffic;"in [place_name : jaipur] traffic level is high";"in jaipur traffic level is high";"In jaipur traffic level is high"
11471;transport;traffic;"are there any backups on [place_name : route eighty] [date : today]";"are there any backups on route eighty today";"Alexa are there any backups on route 80 today?"
10673;transport;traffic;"is the road clear in [place_name : florida]";"is the road clear in florida";"Is the road clear in Florida?"
16589;transport;traffic;"is there bad traffic on the [place_name : highway] right now";"is there bad traffic on the highway right now";"Is there bad traffic on the highway right now?"
2047;transport;traffic;"whats the traffic density in";"whats the traffic density in";"whats the traffic density in NH8?"
