answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16811;recommendation;locations;"where can i get [food_type : shawarma] in this area";"where can i get shawarma in this area";"Where can I get Shawarma in this area ?"
5933;recommendation;locations;"tell me a nice [food_type : chinese] [business_type : restaurant]";"tell me a nice chinese restaurant";"tell me a nice Chinese Restuarant"
4438;recommendation;locations;"is there a well rated [food_type : pizza] [business_type : place] [place_name : between fourteenth and eighteenth streets]";"is there a well rated pizza place between fourteenth and eighteenth streets";"Olly, is there a well rated pizza place between fourteenth and eighteenth streets?"
12003;recommendation;locations;"i want to take [event_name : karate classes] where are local [place_name : karate studios]";"i want to take karate classes where are local karate studios";"I want to take karate classes ?Where are localooking karate studios?"
1935;recommendation;locations;"where is a [business_type : petrol station] in [place_name : five mile radius]";"where is a petrol station in five mile radius";"where is a petrol station in 0.5 mile radius?"
24475;recommendation;locations;"is there any [business_type : salon] in [place_name : babaji nagar]";"is there any salon in babaji nagar";"is there any salon in babaji nagar"
11110;recommendation;locations;"find me the cheapest place to buy a new backpack";"find me the cheapest place to buy a new backpack";"find me the cheapest place to buy a new backpack"
17250;recommendation;locations;"what [business_type : restaurant] is open after [time : midnight]";"what restaurant is open after midnight";"what restaurant is open after midnight"
10873;recommendation;locations;"what [business_type : clothes store] would you recommend here";"what clothes store would you recommend here";"What clothes store would you recommend here?"
18781;recommendation;locations;"please recommend a [business_type : restaurant] in [place_name : seattle]";"please recommend a restaurant in seattle";"Olly, please recommend a restaurant in Seattle."
18782;recommendation;locations;"where is a good [business_type : place to eat] in [place_name : seattle]";"where is a good place to eat in seattle";"Olly, where is a good place to eat in Seattle?"
20940;recommendation;locations;"i need to find [business_type : a gift] what [business_type : stores] are [place_name : within a one mile radius]";"i need to find a gift what stores are within a one mile radius";"I need to find a gift.  What stores are within a 1 mile radius?"
20939;recommendation;locations;"what [business_type : pubs] are near [place_name : the metro station]";"what pubs are near the metro station";"What pubs are near the Metro station?"
4226;recommendation;locations;"where is the [business_type : pharmacy] in [place_name : leavenworth]";"where is the pharmacy in leavenworth";"Where is the pharmacy in Leavenworth?"
25907;recommendation;locations;"where can i eat along route sixty six";"where can i eat along route sixty six";"Where can I eat along Route 66?"
6859;recommendation;locations;"locate me the [business_name : amazon] [business_type : restaurants]";"locate me the amazon restaurants";"Alexa locate me the amazon restaurants"
19599;recommendation;locations;"find [business_type : gluten free bakery] near me";"find gluten free bakery near me";"find gluten free bakery near me"
24476;recommendation;locations;"which [business_type : restaurant] is there in [place_name : shivaji nagar]";"which restaurant is there in shivaji nagar";"which restaurant is there in shivaji nagar"
11717;recommendation;locations;"best reviews [business_type : restaurant] in [place_name : south sacramento]";"best reviews restaurant in south sacramento";"Best reviews, restaurant, south sacramento"
14121;recommendation;locations;"search for local shops";"search for local shops";"search for local shops"
19598;recommendation;locations;"where are [food_type : italian] [business_type : restaurants] in me area";"where are italian restaurants in me area";"where are Italian restaurants in my area"
18874;recommendation;locations;"what [business_type : clothing shops] are close to my current location";"what clothing shops are close to my current location";"Olly, what clothing shops are close to my current location?"
23344;recommendation;locations;"nearest walmart location";"nearest walmart location";"nearest walmart loction"
