answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
22488;qa;stock;"is chase doing good";"is chase doing good";"Is Chase doing good?"
11638;qa;stock;"please tell me news related to the [news_topic : stock market]";"please tell me news related to the stock market";"Please tell me news related to the stock market."
22985;qa;stock;"how are the top ten stocks at the moment";"how are the top ten stocks at the moment";"how are the top 10 stocks at the moment?"
17539;qa;stock;"current price of [business_name : coca cola] stock";"current price of coca cola stock";"Current price of coca cola stock"
24918;qa;stock;"list the current price of [business_name : microsoft] shares";"list the current price of microsoft shares";"List the curret price of Microsoft shares."
22496;qa;stock;"current price of [business_name : google] please";"current price of google please";"current price of GOOGL please"
27002;qa;stock;"how expensive is [business_name : google] stock";"how expensive is google stock";"how expensive is Google stock?"
23709;qa;stock;"give me the opening stock price of [business_name : infosys technologies] [date : today]";"give me the opening stock price of infosys technologies today";"Give me the  opening stock price of Infosys Technologies today"
26049;qa;stock;"which stock markets have lowered in the past three hours";"which stock markets have lowered in the past three hours";"Which stock markets have lowered in the past 3 hours?"
26187;qa;stock;"what is the [business_name : sensex] and nifty points for [date : today]";"what is the sensex and nifty points for today";"what is the sensex and nifty points for today."
22397;qa;stock;"show me share price of [business_name : facebook]";"show me share price of facebook";"Show me share price of Facebook."
23924;qa;stock;"what is the highest [business_name : microsoft] stock price [date : today]";"what is the highest microsoft stock price today";"What is the highest Microsoft stock price today"
26383;qa;stock;"what is a stock price of [business_name : tata]";"what is a stock price of tata";"What is a stock price of TATA"
26826;qa;stock;"have stocks gone up or down [date : today] for [business_name : walmart]";"have stocks gone up or down today for walmart";"Have stocks gone up or down today for Walmart"
22480;qa;stock;"what is the [business_name : google] stock at";"what is the google stock at";"What is the Google stock at?"
24587;qa;stock;"stock exchange rates";"stock exchange rates";"stock exchange rates"
22505;qa;stock;"mention the stock price of [business_name : hdfc]";"mention the stock price of hdfc";"Mention the stock price of HDFC"
27003;qa;stock;"what is the closing price of [business_name : apple] [date : today]";"what is the closing price of apple today";"what is the closing price of Apple today?"
17180;qa;stock;"how many shares of [business_name : apple] can i get for";"how many shares of apple can i get for";"how many shares of apple can I get for 800$"
