answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15605;alarm;query;"what alarms do i have set right now";"what alarms do i have set right now";"What alarms do I have set right now?"
7194;alarm;query;"checkout [date : today] alarm of meeting";"checkout today alarm of meeting";"Checkout today alarm of meeting."
23479;alarm;query;"report alarm settings";"report alarm settings";"Report alarm settings."
23505;alarm;query;"see see for me the alarms that you have set [date : tomorrow] [timeofday : morning]";"see see for me the alarms that you have set tomorrow morning";"See see for me the alarms that you have set [date : tomorrow] morning."
11544;alarm;query;"is there an alarm for [time : ten am]";"is there an alarm for ten am";"Is there an alarm for 10am?"
2507;alarm;query;"confirm the alarm time";"confirm the alarm time";"confirm the alarm time"
17725;alarm;query;"show my alarms";"show my alarms";"<Show my alarms>"
25967;alarm;query;"at what time have you set alarm for me";"at what time have you set alarm for me";"At what time have you set alarm for me"
562;alarm;query;"please list active alarms";"please list active alarms";"Please list active alarms"
17897;alarm;query;"please tell me about upcoming alarms";"please tell me about upcoming alarms";"Please tell me about upcoming alarms."
12132;alarm;query;"what alarms have i set for [date : tomorrow]";"what alarms have i set for tomorrow";"what alarms have i set for tomorrow"
8134;alarm;query;"have i set any alarm for [date : today]";"have i set any alarm for today";"have i set any alarm for today."
9720;alarm;query;"what alarms are upcoming";"what alarms are upcoming";"what alarms are upcoming?"
21709;alarm;query;"what alarms do you have set";"what alarms do you have set";"PDA, What alarms do you have set?"
6901;alarm;query;"show me all scheduled alarms";"show me all scheduled alarms";"Show me all scheduled alarms"
16488;alarm;query;"could you tell me about the alerts i have set";"could you tell me about the alerts i have set";"Could you tell me about the alerts I have set?"
12131;alarm;query;"show me my alarms i have set";"show me my alarms i have set";"show me my alarms i have set"
12098;alarm;query;"do i have any alarms for [date : tomorrow] [timeofday : morning]";"do i have any alarms for tomorrow morning";"Do I have any alarms for tomorrow morning?"
17311;alarm;query;"what alarm do i have set for [date : today]";"what alarm do i have set for today";"what alarm do i have set for today"
