answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14345;qa;factoid;"how many legs does a dog have";"how many legs does a dog have";"How many legs does a dog have?"
24344;qa;factoid;"who was the first president of [place_name : united states]";"who was the first president of united states";"Who was the first president of United States"
13831;qa;factoid;"where is place";"where is place";"where is place?"
25414;qa;factoid;"what's the capital of [place_name : tanzania]";"what's the capital of tanzania";"What's the capital of Tanzania?"
27225;qa;factoid;"search for [person : pink's] [media_type : youtube] channel";"search for pink's youtube channel";"olly search for pink's youtube channel"
10564;qa;factoid;"how many sides are on a pentagon";"how many sides are on a pentagon";"how many sides are on a pentagon"
27025;qa;factoid;"calculate a close integral of exponential function from zero to five";"calculate a close integral of exponential function from zero to five";"calculate a close integral of exponential function from zero to five"
3655;qa;factoid;"what is the age of [person : britney spears]";"what is the age of britney spears";"Britney Spears"
24717;qa;factoid;"where is the hottest place on [place_name : earth]";"where is the hottest place on earth";"Ok Google, where is the hottest place on earth"
21101;qa;factoid;"where is [place_name : morocco] located";"where is morocco located";"Where is Morocco located?"
6413;qa;factoid;"what is the total number of oceans in the world";"what is the total number of oceans in the world";"What is the total number of Oceans in the world?"
9747;qa;factoid;"birth date for movie star [person : keanu reeves]";"birth date for movie star keanu reeves";"Birth date for movie star Keanu Reeves?"
25933;qa;factoid;"how deep is the deepest point of [place_name : the grand canyon]";"how deep is the deepest point of the grand canyon";"How deep is the deepest point of the Grand Canyon?"
22408;qa;factoid;"how is the spouse of [person : obama]";"how is the spouse of obama";"How is the spouse of Obama ?"
26058;qa;factoid;"what are the climatic conditions in that area";"what are the climatic conditions in that area";"what are the climatic conditions in tha that area."
15048;qa;factoid;"what tv show is [person : jennifer aniston] on";"what tv show is jennifer aniston on";"What TV show is Jennifer Aniston on?"
1765;qa;factoid;"what is the capital of [place_name : china]";"what is the capital of china";"what is the capital of China"
1860;qa;factoid;"how hot are summers in [place_name : gibraltar]";"how hot are summers in gibraltar";"How hot are summers in Gibraltar?"
20369;qa;factoid;"what [person : johncena] do";"what johncena do";"What johncena do"
