answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
27254;alarm;remove;"delete alarm";"delete alarm";"Delete alarm."
12973;alarm;remove;"remove the latest alarm";"remove the latest alarm";"remove the latest alarm"
3534;alarm;remove;"stop [alarm_type : wake up] calls for [date : this week]";"stop wake up calls for this week";"stop wake-up calls for this week"
2173;alarm;remove;"remove the first alarm";"remove the first alarm";"Remove the first alarm"
16804;alarm;remove;"remove my earliest alarm for [date : tomorrow]";"remove my earliest alarm for tomorrow";"Remove my earliest alarm for tomorrow."
14685;alarm;remove;"kickball is over i do not need the alarm for kickball on [date : wednesday] [timeofday : evening] any longer";"kickball is over i do not need the alarm for kickball on wednesday evening any longer";"Kickball is over, I do not need the alarm for kickball on Wednesday evening, any longer."
12427;alarm;remove;"remove all alarms";"remove all alarms";"remove all alarms"
13272;alarm;remove;"take off my alarms";"take off my alarms";"Take off my alarms"
558;alarm;remove;"cancel my [time : seven am] alarm";"cancel my seven am alarm";"Cancel my 7am alarm"
15935;alarm;remove;"disable all alarms set for [date : today]";"disable all alarms set for today";"Disable all alarms set for today."
20467;alarm;remove;"olly cancel alarms";"olly cancel alarms";"Siri, cancel alarms"
