answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9637;iot;hue_lightup;"i need more light";"i need more light";"I need more light."
2910;iot;hue_lightup;"make the light more visible";"make the light more visible";"Make the light more visible."
22562;iot;hue_lightup;"olly brighten the lights";"olly brighten the lights";"Google, brighten the lights."
6231;iot;hue_lightup;"can you adjust the lighting for me to be brighter";"can you adjust the lighting for me to be brighter";"Can you adjust the lighting for me to be brighter?"
9507;iot;hue_lightup;"increase the intensity of the lighting in the [house_place : room]";"increase the intensity of the lighting in the room";"Increase the intensity of the lighting in the room"
7527;iot;hue_lightup;"i need some more lights";"i need some more lights";"I need some more lights."
6229;iot;hue_lightup;"can you brighten up the lights please";"can you brighten up the lights please";"Can you brighten up the lights please?"
9114;iot;hue_lightup;"light colour for [house_place : study room]";"light colour for study room";"light colour for study room"
27383;iot;hue_lightup;"make it brighter in here";"make it brighter in here";"Make it brighter in here"
607;iot;hue_lightup;"make lights brightener";"make lights brightener";"Make lights brightener"
4286;iot;hue_lightup;"can you increase the brightness in the [house_place : room]";"can you increase the brightness in the room";"Can you increase the brightness in the room?"
1778;iot;hue_lightup;"make the lights brighter";"make the lights brighter";"Olly make the lights brighter"
3855;iot;hue_lightup;"increase the brightness of the lights";"increase the brightness of the lights";"Cortana, increase the brightness of the lights."
20120;iot;hue_lightup;"can you make the [house_place : room] brighter";"can you make the room brighter";"Can you make the room brighter?"
