answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
626;takeaway;order;"could you order [food_type : sushi] for [timeofday : tonight] [meal_type : dinner]";"could you order sushi for tonight dinner";"Could you order sushi for tonight dinner?"
9695;takeaway;order;"call [business_name : china king] [food_type : chinese] [business_type : restaurant]";"call china king chinese restaurant";"CALL CHINA KING CHINESE RESTAURANT"
12345;takeaway;order;"i'm hungry show me some [order_type : takeaway] food";"i'm hungry show me some takeaway food";"I'm hungry show me some takeaway food"
9763;takeaway;order;"i feel like having [food_type : soup] for [meal_type : lunch] order from [business_name : wangs kitchen] [business_type : restaurant] a chicken manchow soup";"i feel like having soup for lunch order from wangs kitchen restaurant a chicken manchow soup";"I feel like having soup for lunch. Order from Wangs Kitchen restaurant, a chicken manchow soup."
11418;takeaway;order;"yo order take out from [business_name : jason's deli] on [business_name : sixth ave]";"yo order take out from jason's deli on sixth ave";"Yo PDA  order take out from Jason's Deli on 6th ave"
716;takeaway;order;"order a [order_type : takeaway]";"order a takeaway";"Order a takeaway"
19415;takeaway;order;"call [business_name : pf chang's] to order me [food_type : egg foo young]";"call pf chang's to order me egg foo young";"Call PF Chang's to order me Egg Foo Young."
25860;takeaway;order;"any [food_type : fast food] meal offers";"any fast food meal offers";"Any fast food meal offers"
10543;takeaway;order;"order [business_name : mcdonalds]";"order mcdonalds";"order mcdonalds"
9098;takeaway;order;"can i order [order_type : take out] from [business_name : licari's]";"can i order take out from licari's";"Can I order take out from Licari's ?"
25988;takeaway;order;"have [business_name : pho] send three [food_type : egg rolls]";"have pho send three egg rolls";"Have Pho #1 send 3 egg rolls."
17988;takeaway;order;"contact [business_name : pizza hut] and order a large [food_type : pizza with ham and mushrooms]";"contact pizza hut and order a large pizza with ham and mushrooms";"Contact Pizza Hut and order a large pizza with ham and mushrooms."
2950;takeaway;order;"i want two [food_type : burgers] and one [food_type : coke] order it fast";"i want two burgers and one coke order it fast";"I want 2 burgers and one coke, order it fast."
9118;takeaway;order;"order the usual from [business_name : turiellos pizza]";"order the usual from turiellos pizza";"Order the usual from Turiellos Pizza"
625;takeaway;order;"hey i'd like you to order [food_type : burger]";"hey i'd like you to order burger";"Hey, I'd like you to order burger"
5645;takeaway;order;"order some [order_type : takeaway] food";"order some takeaway food";"Order some takeaway food"
23208;takeaway;order;"find food and order";"find food and order";"find food and order"
9382;takeaway;order;"[food_type : noodles] one pack make it as [order_type : takeaway]";"noodles one pack make it as takeaway";"Noodles 1 pack, Make it as takeaway"
715;takeaway;order;"order me a [food_type : byron] from [business_name : deliveroo]";"order me a byron from deliveroo";"Order me a Byron from Deliveroo"
