answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9659;calendar;remove;"i am busy [date : tomorrow] so delete all calendar events";"i am busy tomorrow so delete all calendar events";"I am busy tomorrow so delete all calendar events"
19518;calendar;remove;"delete from the calendar the next event";"delete from the calendar the next event";"delete from the calendar the next event"
11591;calendar;remove;"delete all scheduled events";"delete all scheduled events";"Delete all scheduled events"
21024;calendar;remove;"format data from calendar";"format data from calendar";"Format data from calendar"
4326;calendar;remove;"find [meal_type : dinner] with [relation : mom] on my calendar and delete it";"find dinner with mom on my calendar and delete it";"Find dinner with mom on my calendar and delete it."
16371;calendar;remove;"remove my event at [time : one pm] in my calendar";"remove my event at one pm in my calendar";"Remove my event at 1 P.M. in my calendar."
6166;calendar;remove;"please [time : clear] my calendar";"please clear my calendar";"Please clear my calendar"
6538;calendar;remove;"do remove next event from the calendar";"do remove next event from the calendar";"Do remove next event from the calendar"
6383;calendar;remove;"delete all events and content from my calendar";"delete all events and content from my calendar";"Delete all events and content from my calender."
19794;calendar;remove;"no [event_name : lunch date] [date : tomorrow]";"no lunch date tomorrow";"no lunch date [date : tomorrow]"
572;calendar;remove;"delete my next [event_name : meeting]";"delete my next meeting";"Delete my next meeting"
6108;calendar;remove;"delete the [general_frequency : monthly] recurring [event_name : team meeting] till [time : june]";"delete the monthly recurring team meeting till june";"Delete the monthly recurring team meeting till June."
7167;calendar;remove;"i will no longer be joining [relation : mom] for [meal_type : lunch] [date : tomorrow]";"i will no longer be joining mom for lunch tomorrow";"I will no longer be joining mom for lunch tomorrow."
17862;calendar;remove;"destroy all events";"destroy all events";"Destroy all events."
14968;calendar;remove;"clear my next event";"clear my next event";"Clear my next event"
6540;calendar;remove;"check the events on calendar and delete the next event";"check the events on calendar and delete the next event";"Check the events on calendar and delete the next event"
21023;calendar;remove;"clear all data from calendar";"clear all data from calendar";"clear all data from calendar"
19491;calendar;remove;"cancels [meal_type : lunch] at the [business_type : restaurant] booked for [date : march twenty five]";"cancels lunch at the restaurant booked for march twenty five";"cancels lunch at the restaurant booked for March 25"
7166;calendar;remove;"cancel [event_name : dentist appointment] for [date : this week]";"cancel dentist appointment for this week";"Cancel dentist appointment for this week."
