answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
10085;audio;volume_mute;"mute yourself [time : until five pm]";"mute yourself until five pm";"Mute yourself until 5pm."
3210;audio;volume_mute;"don't speak for a while";"don't speak for a while";"Don't speak for a while"
10407;audio;volume_mute;"i've got a meeting by [timeofday : tonight] [time : seven pm] please mute the music for [time : an hour]";"i've got a meeting by tonight seven pm please mute the music for an hour";"I've got a meeting by tonight 7:00PM, please mute the music for an hour"
10372;audio;volume_mute;"quiet mode [time : four hours]";"quiet mode four hours";"Quiet mode, 4 hours"
26393;audio;volume_mute;"turn down the noise";"turn down the noise";"Turn down the noise"
8186;audio;volume_mute;"please change the volume to mute";"please change the volume to mute";"Please change the volume to mute"
2523;audio;volume_mute;"mute for the [time : next hour] please";"mute for the next hour please";"Mute for the next hour please."
21509;audio;volume_mute;"please mute yourself";"please mute yourself";"Please mute yourself."
9326;audio;volume_mute;"make the volume [change_amount : to zero]";"make the volume to zero";"Make the volume to zero"
3437;audio;volume_mute;"hey olly mute the speakers";"hey olly mute the speakers";"Hey Siri!! mute the speakers"
18112;audio;volume_mute;"mute the speakers";"mute the speakers";"Mute the speakers."
8244;audio;volume_mute;"goodnight";"goodnight";"goodnight"
13101;audio;volume_mute;"it's quiet time";"it's quiet time";"It's quiet time"
8445;audio;volume_mute;"turn off speaker";"turn off speaker";"turn of speaker"
3209;audio;volume_mute;"mute yourself until i say otherwise";"mute yourself until i say otherwise";"Mute yourself until I say otherwise"
