answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
17931;recommendation;movies;"what's a movie in [place_name : theaters] that doesn't suck";"what's a movie in theaters that doesn't suck";"Olly, what's a movie in theaters that doesn't suck?"
9078;recommendation;movies;"[business_type : theaters] near to me";"theaters near to me";"theaters near to me"
17889;recommendation;movies;"look up movies near me";"look up movies near me";"Olly, look up movies near me."
8071;recommendation;movies;"check for all the movie theater prices and availability for a newly released movie in my location";"check for all the movie theater prices and availability for a newly released movie in my location";"Check for all the movie theater prices and availability for a newly released movie in my loicatoion?"
21070;recommendation;movies;"local [business_type : theater] screening which [event_name : movie]";"local theater screening which movie";"Local theater screening which movie?"
7612;recommendation;movies;"what movies is out there in the [place_name : local cinema]";"what movies is out there in the local cinema";"What movies is out there in the local cinema?"
6497;recommendation;movies;"tell me movies playing in [place_name : oceanside] [timeofday : tonight]";"tell me movies playing in oceanside tonight";"Tell me movies playing in Oceanside tonight."
23212;recommendation;movies;"top ten movies";"top ten movies";"Top 10 movies"
15258;recommendation;movies;"what should i watch [date : today]";"what should i watch today";"Olly, what should I watch today?"
25769;recommendation;movies;"[movie_name : ocean eleven]";"ocean eleven";"ocean 11"
