answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
7790;lists;createoradd;"add car service to my list of things [list_name : to do] [date : today]";"add car service to my list of things to do today";"Add car service to my list of things to do today"
13603;lists;createoradd;"make a new list for me";"make a new list for me";"make a new list for me"
14611;lists;createoradd;"open [list_name : grocery] list and add milk";"open grocery list and add milk";"open grocery list and add milk"
10379;lists;createoradd;"add [person : ashley] to the [event_name : wedding invite] list";"add ashley to the wedding invite list";"Add Ashley to the wedding invite list."
3442;lists;createoradd;"start me a new list";"start me a new list";"Start me a new list."
19391;lists;createoradd;"include this item";"include this item";"Include this item."
23041;lists;createoradd;"my new [list_name : health check up] new list";"my new health check up new list";"My new health check up new list"
14018;lists;createoradd;"create a new list of my [list_name : due bills]";"create a new list of my due bills";"Create a new list of my due bills"
7802;lists;createoradd;"add eggs to list";"add eggs to list";"add eggs to list"
21485;lists;createoradd;"make a list of [list_name : camera photos]";"make a list of camera photos";"Make a list of camera photos"
25040;lists;createoradd;"delete the [list_name : old playlist] and create new";"delete the old playlist and create new";"delete the old playlist and create new"
18104;lists;createoradd;"i need more milk";"i need more milk";"I need more milk"
3513;lists;createoradd;"add the post office to my list of [list_name : errands] for [date : Saturday]";"add the post office to my list of errands for Saturday";"Add the post office to my list of errands for Saturday."
9810;lists;createoradd;"add juice to my [list_name : grocery] list";"add juice to my grocery list";"add juice to my grocery list"
7175;lists;createoradd;"add paav bhaji in menu card";"add paav bhaji in menu card";"Add Paav Bhaji in Menu card"
23650;lists;createoradd;"add [drink_type : coffee] to the [list_name : grocery] list";"add coffee to the grocery list";"Add coffee to the grocery list"
23043;lists;createoradd;"[list_name : buying of groceries] new list";"buying of groceries new list";"buying of groceries new lsit"
16813;lists;createoradd;"add milk to [list_name : grocery] list";"add milk to grocery list";"Add milk to grocery list"
7651;lists;createoradd;"add detergent to the list of [list_name : things i need to buy]";"add detergent to the list of things i need to buy";"Add detergent to the list of things I need to buy."
