answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14217;alarm;set;"set a reminder i need to wake up at [time : five am] [general_frequency : every morning]";"set a reminder i need to wake up at five am every morning";"Set a reminder i need to wake up at 5 Am every morning"
13036;alarm;set;"please set an alarm at [time : seven am] [date : tomorrow] [timeofday : morning]";"please set an alarm at seven am tomorrow morning";"Please set an alarm at 7:00 am tomorrow morning?"
26830;alarm;set;"create an alarm for [date : today] at [time : ten am]";"create an alarm for today at ten am";"Olly, create an alarm for today at ten a.m."
14875;alarm;set;"i need you to set an alarm";"i need you to set an alarm";"I need you to set an alarm."
13757;alarm;set;"make an alarm to help me remember";"make an alarm to help me remember";"Make an alarm to help me remember"
3;alarm;set;"set an alarm for [time : two hours from now]";"set an alarm for two hours from now";"set an alarm for two hours from now"
14137;alarm;set;"set alarm for [time : nine am]";"set alarm for nine am";"set alarm for 9am"
1720;alarm;set;"set an alarm at [time : six] in the [timeofday : morning]";"set an alarm at six in the morning";"set an alarm at 6 in the morning"
13751;alarm;set;"make an alarm for the [timeofday : morning]";"make an alarm for the morning";"Make an alarm for the morning."
3494;alarm;set;"set an alarm for [time : two hours from now] please";"set an alarm for two hours from now please";"set an alarm for 2 hours from now please"
15023;alarm;set;"set an alarm at [time : six am]";"set an alarm at six am";"Set an alarm at 6 am."
4365;alarm;set;"place alarm at [time : five] o'clock [timeofday : morning]";"place alarm at five o'clock morning";"place alarm at 5 o'clock morning"
10768;alarm;set;"wake me up at [time : five hundred and thirty]";"wake me up at five hundred and thirty";"wake me up at 5:30"
2818;alarm;set;"i want to wake up at [time : six am] [date : tomorrow] please";"i want to wake up at six am tomorrow please";"I want to wake up at 6:00 am tomorrow please"
20798;alarm;set;"call me at [time : six am]";"call me at six am";"Call me at 6 am"
10452;alarm;set;"set an alarm for [time : one hour] from now";"set an alarm for one hour from now";"Set an alarm for 1 hour from now"
20401;alarm;set;"new alarm for [time : six am]";"new alarm for six am";"New alarm for 6am"
2577;alarm;set;"i need a reminder alarm at [time : one]";"i need a reminder alarm at one";"I need a reminder alarm at 1:00p."
7324;alarm;set;"please set alarm at [time : five pm]";"please set alarm at five pm";"please set alarm at 5 pm"
