answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
22181;iot;hue_lightoff;"put out the lights";"put out the lights";"Put out the lights."
7401;iot;hue_lightoff;"switch off the [house_place : master's bedroom]";"switch off the master's bedroom";"switch off the master's bedroom"
2919;iot;hue_lightoff;"control lights turn off [house_place : room] lights";"control lights turn off room lights";"Control lights.  Turn off room lights."
3968;iot;hue_lightoff;"turn [house_place : this room] light off";"turn this room light off";"Turn this room's light off"
5407;iot;hue_lightoff;"please turn off the light of the [house_place : bathroom]";"please turn off the light of the bathroom";"Please turn off the light of the bathroom"
12598;iot;hue_lightoff;"turn off the lights in this [house_place : room] please";"turn off the lights in this room please";"Turn off the lights in this room please."
13776;iot;hue_lightoff;"turn off all the lights in the [house_place : living room] and den";"turn off all the lights in the living room and den";"Turn off all the lights in the living room and den"
2739;iot;hue_lightoff;"turn the [device_type : lamp] off";"turn the lamp off";"Turn the lamp off"
10035;iot;hue_lightoff;"light off";"light off";"Light off"
16532;iot;hue_lightoff;"turn all the lights off";"turn all the lights off";"Turn all the lights off."
24364;iot;hue_lightoff;"please turn off the lights";"please turn off the lights";"Please, turn off the lights"
11576;iot;hue_lightoff;"turn off the [house_place : office] lights";"turn off the office lights";"PDA turn off the office lights"
2380;iot;hue_lightoff;"turn off light";"turn off light";"turn off light"
7399;iot;hue_lightoff;"turn off the [house_place : dining room]";"turn off the dining room";"turn off the dining room"
23732;iot;hue_lightoff;"switch off [house_place : kitchen] lights";"switch off kitchen lights";"Switch off kitchen lights"
8374;iot;hue_lightoff;"i dont need light";"i dont need light";"i dont need light."
23143;iot;hue_lightoff;"turn off the [house_place : bedroom] [device_type : lamp]";"turn off the bedroom lamp";"Turn off the bedroom lamp"
10612;iot;hue_lightoff;"turn off the [house_place : living room] lights";"turn off the living room lights";"Turn off the living room lights"
13514;iot;hue_lightoff;"turn off all the lights";"turn off all the lights";"turn off all the lights"
