answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
10869;datetime;query;"show me the time";"show me the time";"Show me the time."
12680;datetime;query;"what is the date [event_name : easter] falls on";"what is the date easter falls on";"What is the date Easter falls on?"
2050;datetime;query;"what day of the week is the [date : twenty second march]";"what day of the week is the twenty second march";"What day of the week is the 22nd march?"
14028;datetime;query;"what time is it in the [time_zone : eastern] half of the us right now";"what time is it in the eastern half of the us right now";"What time is it in the eastern half of the US right now."
2294;datetime;query;"what day of the [date : month] is next [date : tuesday]";"what day of the month is next tuesday";"what day of the month is next tuesday"
19064;datetime;query;"what time is it in [place_name : another city]";"what time is it in another city";"what time is it in another city?"
9969;datetime;query;"current time please";"current time please";"Current time please."
4960;datetime;query;"what day is it on [date : fifth december]";"what day is it on fifth december";"what day is it on 5th december?"
8708;datetime;query;"what is the current time right now";"what is the current time right now";"What is the current time right now?"
19617;datetime;query;"what day is [date : the fifteenth]";"what day is the fifteenth";"what day is the 15th"
18823;datetime;query;"what day of the week is [date : june twenty seventh] on this year";"what day of the week is june twenty seventh on this year";"What day of the week is June 27th on this year?"
5049;datetime;query;"uh what does the current date happen to be";"uh what does the current date happen to be";"Uh, what does the current date happen to be, PDA?"
17320;datetime;query;"what is the current time in [place_name : delhi]";"what is the current time in delhi";"What is the current time in Delhi?"
18913;datetime;query;"what day [date : today]";"what day today";"what day today"
24442;datetime;query;"what is the day on [date : twenty third march]";"what is the day on twenty third march";"what is the day on 23rd march"
4994;datetime;query;"i want exact time in [place_name : washington] right now";"i want exact time in washington right now";"I want exact time in Washington right now"
2293;datetime;query;"what day is it [date : today]";"what day is it today";"what day is it today"
24426;datetime;query;"show me what day [date : the thirty first] is on";"show me what day the thirty first is on";"Show me what day the 31st is on."
3665;datetime;query;"give me the current time";"give me the current time";"Give me the current time"
