answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
24290;qa;currency;"foreign exchange rates";"foreign exchange rates";"foreign exchange rates"
18175;qa;currency;"what is the exchange rate between [currency_name : us] and [currency_name : canada]";"what is the exchange rate between us and canada";"What is the exchange rate between U.S. and Canada?"
22376;qa;currency;"conversion between [currency_name : dollars] and [currency_name : pounds]";"conversion between dollars and pounds";"Conversion between [currency_source : dollars] and pounds?"
17767;qa;currency;"what's the exchange between [currency_name : u. s. d.] and [currency_name : cad]";"what's the exchange between u. s. d. and cad";"What's the exchange between USD and CAD?"
22239;qa;currency;"please give me detail of one [currency_name : yen] equals [currency_name : dollar]";"please give me detail of one yen equals dollar";"Please give me detail of 100 yen = $"
21797;qa;currency;"how much is the [currency_name : euro] versus the [currency_name : canadian dollar]";"how much is the euro versus the canadian dollar";"how much is the euro versus the canadian dollar?"
26188;qa;currency;"is the [currency_name : pound] up or down against the [currency_name : dollar]";"is the pound up or down against the dollar";"is the pound up or down against the dollar?"
18806;qa;currency;"exchange [currency_name : euro] to [currency_name : dollar]";"exchange euro to dollar";"exchange euro to dollar"
23241;qa;currency;"what's the [currency_name : dollar's] exchange rate with the [currency_name : euro]";"what's the dollar's exchange rate with the euro";"What's the dollar's exchange rate with the Euro?"
22935;qa;currency;"what is the equivalent of one [currency_name : inr] in [currency_name : zimbabwe dollars]";"what is the equivalent of one inr in zimbabwe dollars";"what is the equivalent of 1 INR in Zimbabwe [currency_source : dollars]"
25875;qa;currency;"what is the rate for [currency_name : g. b. p.] to [currency_name : u. s. d.]";"what is the rate for g. b. p. to u. s. d.";"What is the rate for GBP to USD?"
24589;qa;currency;"what is the exchange rate of [currency_name : euro] and [currency_name : dollar]";"what is the exchange rate of euro and dollar";"what is the exchange rate of euro and dollar"
24331;qa;currency;"what is [currency_name : dollars] in [currency_name : pesos]";"what is dollars in pesos";"What is [currency_source : dollars] in pesos?"
23131;qa;currency;"what is [currency_name : us dollar] [date : today]";"what is us dollar today";"what is US dollar today"
24226;qa;currency;"exchange rates";"exchange rates";"xchange rates"
15590;qa;currency;"what's the exchange rates";"what's the exchange rates";"What's the exchange rates"
22933;qa;currency;"what is the exchange rate between [currency_name : u. s. d.] and [currency_name : inr]";"what is the exchange rate between u. s. d. and inr";"what is the exchange rate between USD and INR"
23636;qa;currency;"give me the exchange rate between [currency_name : united states dollar] and [currency_name : indian rupee]";"give me the exchange rate between united states dollar and indian rupee";"Give me the exchange rate between United States Dollar and Indian Rupee"
4831;qa;currency;"i would like my to tell me the trend on foreign exchange rates";"i would like my to tell me the trend on foreign exchange rates";"I would like my PDA to tell me the trend on foreign exchange rates"
